69588419,2020-01-26 23:59:00,NawazAhmed,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n , k = map ( int , input (). split ()) for  _  in  range ( k ):  n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,108 ms,0 KB
69849008,2020-01-30 18:04:00,saikrishna759,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n , k = map ( int , input (). split ()) for  _  in  range ( k ):  n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,140 ms,0 KB
73011738,2020-03-12 13:01:00,ece_18wh1a0445,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n , k = map ( int , input (). split ()) for  _  in  range ( k ):  n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,109 ms,0 KB
73559319,2020-03-18 13:19:00,ece_18wh1a0447,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n , k = map ( int , input (). split ()) for  _  in  range ( k ):  n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,108 ms,0 KB
74370103,2020-03-26 12:23:00,chinnu0612,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n , k = map ( int , input (). split ()) for  i  in  range ( k ):  n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,109 ms,0 KB
75495286,2020-04-04 17:41:00,happy_feet7,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n , k = map ( int , input (). split ()) for  _  in  range ( k ):  n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,93 ms,0 KB
75557855,2020-04-05 13:29:00,Zoro_Enma,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n , k = map ( int , input (). split ()) for  _  in  range ( k ):  n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,93 ms,0 KB
75802807,2020-04-08 08:06:00,Legend_18,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n , k = map ( int , input (). split ()) for  _  in  range ( k ):  n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,93 ms,0 KB
77210855,2020-04-18 20:51:00,vorttxt,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n , k = map ( int , input (). split ()) for  _  in  range ( k ):  n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,108 ms,0 KB
78657658,2020-05-01 16:33:00,amitbhosale1234567890,977A - Wrong Subtraction,Python 3,Accepted,3,38,"x , y = map ( int , input (). split ()) for  _  in  range ( y ):  x = x - 1   if  x % 10   else  x // 10 print ( x )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,109 ms,0 KB
78789445,2020-05-02 09:45:00,sam_1707,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n , k = map ( int , input (). split ()) for  _  in  range ( k ):  n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,93 ms,0 KB
49157118,2019-01-29 17:07:00,pranav24,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n , k = map ( int ,  input (). split ()) for  _  in  range ( k ):  n =  n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,109 ms,0 KB
72779608,2020-03-09 13:52:00,harshav_b,977A - Wrong Subtraction,Python 3,Accepted,3,39,"n , k = map ( int , input (). split ()) for  _  in  range ( k ):  n = n - 1   if  n %   10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun pln lit pln kwd pln pun lit kwd pun pln pun,109 ms,0 KB
75074297,2020-04-01 14:39:00,beraton,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n , k  =  map ( int , input (). split ()) for  i  in  range ( k ):  n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,93 ms,0 KB
49435906,2019-02-03 22:06:00,16wh1a0458,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n , k = map ( int ,  input (). split ()) for  _  in  range ( k ):  n =  n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,124 ms,0 KB
53957993,2019-05-10 15:46:00,Srikantht,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n , k = map ( int , input (). split ()) for  _  in  range ( k ):  n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,109 ms,0 KB
65389532,2019-11-19 19:38:00,ashu_sln,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n , k = map ( int , input (). split ()) for  i  in  range ( k ):  n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,109 ms,0 KB
66540956,2019-12-09 14:29:00,MehulJ,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n , k = map ( int , input (). split ()) for  _  in  range ( k ):  n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,109 ms,0 KB
67410425,2019-12-22 11:07:00,Ryanjoo18,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n ,  k  =  map ( int , input (). split ()) for  _  in  range ( k ):  n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,124 ms,0 KB
67757938,2019-12-27 23:21:00,hossein7888,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n , k = map ( int , input (). split ()) for  _  in  range ( k ):  n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,109 ms,300 KB
71693415,2020-02-23 16:18:00,AnikB,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n , k  =  map ( int , input (). split ()) for  _  in  range ( k ):  n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,109 ms,0 KB
73011273,2020-03-12 12:53:00,Ece_18wh1a0432,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n , k = map ( int , input (). split ()) for  _  in  range ( k ):  n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,93 ms,300 KB
75669857,2020-04-06 18:16:00,jjbro,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n , k = map ( int , input (). split ()) for  _  in  range ( k ):  n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,93 ms,0 KB
77591291,2020-04-22 00:13:00,Ifty185,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n , k = map ( int ,  input (). split ()) for  _  in  range ( k ):  n =  n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,93 ms,0 KB
77838109,2020-04-23 19:37:00,juliusmar4,977A - Wrong Subtraction,Python 3,Accepted,3,41,"a ,  b  =  map ( int , input (). split ()) for  i  in  range ( b ):  a  =   [ a - 1 ,  a // 10 ][ a % 10 == 0 ] print ( a )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun pln pun lit pun pln pun lit pun pln pun lit pun lit pun kwd pun pln pun,93 ms,0 KB
56677897,2019-07-07 19:28:00,Danylo99,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n , k  =  map ( int , input (). split ()) for  _  in  range  ( k ):  n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,109 ms,0 KB
75013180,2020-03-31 22:04:00,nfano,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n ,  k  =  map ( int , input (). split ()) for  i  in  range ( k ):  n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,109 ms,0 KB
75186705,2020-04-02 01:35:00,kyje,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n , k = map ( int ,  input (). split ()) for  _  in  range ( k ):  n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,109 ms,0 KB
75591952,2020-04-05 20:13:00,codeforfunn,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n , k  =  map ( int , input (). split ()) for  _  in  range  ( k ):  n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,109 ms,0 KB
75012524,2020-03-31 21:55:00,nfano,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n ,  k  =  map ( int ,  input (). split ()) for  i  in  range ( k ):  n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,109 ms,0 KB
63127762,2019-10-22 16:18:00,SSSH08,977A - Wrong Subtraction,Python 3,Accepted,3,40,"n , k = map ( int , input (). split ()) for  i  in  range ( k ):  n = n - 1   if  n % 10 != 0   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pun lit pln kwd pln pun lit kwd pun pln pun,109 ms,0 KB
70550760,2020-02-08 11:53:00,k.srvaya,977A - Wrong Subtraction,Python 3,Accepted,4,38,"n , m = map ( int , input (). split ()) for  i  in  range ( m ):     n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,109 ms,0 KB
77674913,2020-04-22 19:43:00,PNT0810#,977A - Wrong Subtraction,Python 3,Accepted,4,38,"n , k = map ( int , input (). split ()) for  _  in  range ( k ):   n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,93 ms,0 KB
47769303,2018-12-30 22:41:00,ShiSu,977A - Wrong Subtraction,Python 3,Accepted,6,43,"n , k  =  map ( int , input (). split ())   while ( n % 10 < k ):     k -=( n % 10 + 1 )     n = int ( n / 10 ) print ( n - k )",pln pun pln pun pln pun pln pun pln pun pln pun pln kwd pun pln pun lit pun pln pun pln pun pln pun lit pun lit pun pln pun pln pun pln pun lit pun kwd pun pln pun pln pun,109 ms,0 KB
74754585,2020-03-29 20:40:00,Sirius93,977A - Wrong Subtraction,Python 3,Accepted,3,40,"n ,  k  =  map ( int , input (). split ()) for  _  in  range ( k ):  n = n - 1   if  n  %   10   else  n  //   10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun pln lit pln kwd pln pun pln lit kwd pun pln pun,109 ms,0 KB
76655234,2020-04-14 06:59:00,saikiranlingampally4397,977A - Wrong Subtraction,Python 3,Accepted,4,38,"n , k  =  map ( int , input (). split ()) for  i  in  range ( k ):     n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,124 ms,0 KB
76685306,2020-04-14 14:32:00,kiranlingampalli,977A - Wrong Subtraction,Python 3,Accepted,4,38,"n , k  =  map ( int , input (). split ()) for  i  in  range ( k ):     n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,124 ms,0 KB
79080444,2020-05-05 20:34:00,dubey07#,977A - Wrong Subtraction,Python 3,Accepted,3,41,"a , b  =  map ( int , input (). split ()) for  i  in  range ( b ):  a  =  a - 1   if  a % 10 > 0   else  a // 10   print ( a )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pun lit pln kwd pln pun lit pln kwd pun pln pun,109 ms,0 KB
38068139,2018-05-09 13:44:00,shella,977A - Wrong Subtraction,Python 3,Accepted,5,42,"n , k =  map ( int , input (). split ()) while ( n % 10 < k ):     k -=( n % 10 + 1 )     n = int ( n / 10 ) print ( n - k )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pun pln pun lit pun pln pun pln pun pln pun lit pun lit pun pln pun pln pun pln pun lit pun kwd pun pln pun pln pun,77 ms,6900 KB
47484740,2018-12-25 10:53:00,HakuButsu,977A - Wrong Subtraction,Python 3,Accepted,4,40,"n , k = map ( int , input (). split ()) for  i  in  range ( k ):     n = n // 10   if  n % 10 == 0   else  n - 1 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pun lit pln kwd pln pun lit kwd pun pln pun,108 ms,0 KB
68813541,2020-01-14 19:19:00,coderemite,977A - Wrong Subtraction,Python 3,Accepted,4,40,"n , k  =  map ( int ,  input (). split ()) for  _  in  range ( k ):   n  =  n // 10   if  n % 10 == 0   else  n - 1 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pun lit pln kwd pln pun lit kwd pun pln pun,109 ms,0 KB
72884789,2020-03-10 13:25:00,noob_coder..V.2.0,977A - Wrong Subtraction,Python 3,Accepted,4,40,"n , k = map ( int , input (). split ()) for  i  in  range ( k ):     n = n // 10   if  n % 10 == 0   else  n - 1 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pun lit pln kwd pln pun lit kwd pun pln pun,108 ms,0 KB
77322684,2020-04-20 06:02:00,awesomehtr1,977A - Wrong Subtraction,Python 3,Accepted,4,39,"n , k  =  map ( int , input (). split ()) for  i  in  range ( k ):     n =  n  -   1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun pln lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,109 ms,0 KB
52539238,2019-04-09 20:11:00,A_V_A_L_O_N,977A - Wrong Subtraction,Python 3,Accepted,4,40,"a , b = map ( int , input (). split ()) for  i  in  range ( b ):     a = a - 1   if  a % 10 > 0   else  a // 10 print ( a )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pun lit pln kwd pln pun lit kwd pun pln pun,124 ms,0 KB
60665905,2019-09-16 11:02:00,akashpoonia79,977A - Wrong Subtraction,Python 3,Accepted,7,40,"n , k = map ( int , input (). split ()) for  i  in  range ( k ): 	 if  n % 10 == 0 : 		n //= 10 	 else : 		n -= 1 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln kwd pln pun lit pun lit pun pln pun lit pln kwd pun pln pun lit kwd pun pln pun,93 ms,0 KB
63345788,2019-10-24 22:13:00,Nidhish,977A - Wrong Subtraction,Python 3,Accepted,5,38,"n , k = map ( int ,  input (). split ()) for  i  in  range ( k ):      if  n % 10 :  n -= 1      else :  n //= 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln kwd pln pun lit pun pln pun lit pln kwd pun pln pun lit kwd pun pln pun,109 ms,0 KB
74763152,2020-03-29 22:23:00,vikash_vian,977A - Wrong Subtraction,Python 3,Accepted,7,40,"n , k = map ( int , input (). split ()) for  i  in  range ( k ): 	 if  n % 10 == 0 : 		n //= 10 	 else : 		n -= 1 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln kwd pln pun lit pun lit pun pln pun lit pln kwd pun pln pun lit kwd pun pln pun,93 ms,0 KB
75436714,2020-04-03 23:57:00,S4mH4z3,977A - Wrong Subtraction,Python 3,Accepted,4,39,"n ,  k  =  map ( int , input (). split ())   for  _  in  range ( k ):  n  =  n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun pln kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,108 ms,0 KB
49108620,2019-01-28 17:04:00,Shubham2227,977A - Wrong Subtraction,Python 3,Accepted,5,42,"n , k =  map ( int , input (). split ()) while ( n % 10 < k ):     k -=( n % 10 + 1 )     n = int ( n / 10 ) print ( n - k )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pun pln pun lit pun pln pun pln pun pln pun lit pun lit pun pln pun pln pun pln pun lit pun kwd pun pln pun pln pun,93 ms,0 KB
49881417,2019-02-13 21:21:00,over1111,977A - Wrong Subtraction,Python 3,Accepted,5,42,"n , k =  map ( int , input (). split ()) while ( n % 10 < k ):     k -=( n % 10 + 1 )     n = int ( n / 10 ) print ( n - k )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pun pln pun lit pun pln pun pln pun pln pun lit pun lit pun pln pun pln pun pln pun lit pun kwd pun pln pun pln pun,93 ms,0 KB
57656811,2019-07-24 17:54:00,Siftlockks,977A - Wrong Subtraction,Python 3,Accepted,7,41,"n , t = map ( int , input (). split ()) for  j  in  range ( t ): 	 if ( n % 10 == 0 ): 		n //= 10 	 else : 		n -= 1 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln kwd pun pln pun lit pun lit pun pln pun lit pln kwd pun pln pun lit kwd pun pln pun,109 ms,0 KB
57888792,2019-07-28 14:02:00,Shahid_786,977A - Wrong Subtraction,Python 3,Accepted,6,41,"n , k = map ( int , input (). split ())   for  i  in  range ( k ): 	 if  n % 10 : n = n - 1 	 else :  n //= 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun pln kwd pln kwd pln pun pln pun pln kwd pln pun lit pun pln pun pln pun lit pln kwd pun pln pun lit kwd pun pln pun,124 ms,0 KB
62635940,2019-10-15 19:49:00,gouthamreddy12,977A - Wrong Subtraction,Python 3,Accepted,5,41,"n , k = map ( int , input (). split ()) while  k :       n = n - 1   if  n % 10 != 0   else  n // 10       k -= 1 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln pun pln pln pun pln pun lit pln kwd pln pun lit pun lit pln kwd pln pun lit pln pln pun lit kwd pun pln pun,109 ms,0 KB
69564972,2020-01-26 15:04:00,AM.EM.U4EAC19012,977A - Wrong Subtraction,Python 3,Accepted,3,45,"l = lambda : map ( int , input (). split ()); x , y = l () for  i  in  range ( y ): x =[ x - 1 , x // 10 ][ x % 10 == 0 ] print ( x )",pln pun kwd pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pun pln pun lit pun pln pun lit pun lit pun kwd pun pln pun,109 ms,200 KB
